Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
05/04/2025 16:04:08.61;1000.86;1001.62;639.36;459.12;445.47;484.11;102.87;99.78
05/04/2025 16:04:08.62;1001.31;1001.62;640.03;457.35;445.03;488.53;102.87;99.78
05/04/2025 16:04:08.64;1000.64;1001.62;642.01;458.45;441.72;484.77;102.87;99.56
05/04/2025 16:04:08.65;1001.31;1001.39;639.14;457.35;440.18;486.10;103.09;99.78
05/04/2025 16:04:08.65;1000.86;1001.39;642.68;458.23;438.19;488.53;102.87;99.56
05/04/2025 16:04:08.66;1001.08;1001.62;638.70;458.23;435.98;486.10;102.87;99.78
05/04/2025 16:04:08.68;1001.08;1001.39;642.68;458.45;435.10;490.52;102.87;99.78
05/04/2025 16:04:08.69;1000.86;1001.62;639.36;459.56;432.01;486.76;102.87;99.56
05/04/2025 16:04:08.70;1001.31;1001.39;639.36;458.45;431.79;490.74;103.09;99.78
05/04/2025 16:04:08.71;1000.86;1001.62;642.68;460.00;429.36;488.53;103.09;99.78
05/04/2025 16:04:08.72;1001.31;1001.62;639.14;458.45;428.26;488.75;103.09;99.78
05/04/2025 16:04:08.73;1000.86;1001.62;642.90;458.90;426.93;493.17;103.09;99.78
05/04/2025 16:04:08.74;1000.64;1001.62;639.36;459.56;424.50;490.30;102.87;99.56
05/04/2025 16:04:08.75;1001.08;1001.62;640.91;457.79;424.28;495.60;102.87;99.78
05/04/2025 16:04:08.76;1000.86;1001.62;641.35;459.78;421.41;492.28;103.09;99.78
05/04/2025 16:04:08.77;1001.08;1001.62;639.14;458.90;420.31;495.60;102.87;99.78
05/04/2025 16:04:08.77;1000.86;1001.62;642.68;460.00;418.10;497.14;102.87;99.78
05/04/2025 16:04:08.79;1000.86;1001.62;638.92;459.56;415.45;496.48;102.87;99.78
05/04/2025 16:04:08.80;1001.08;1001.62;642.46;459.12;414.35;501.56;102.87;99.78
05/04/2025 16:04:08.81;1000.86;1001.62;639.14;460.44;410.82;498.91;102.87;99.78
05/04/2025 16:04:08.82;1001.08;1001.62;639.14;459.12;409.71;504.65;103.09;99.78
05/04/2025 16:04:08.83;1000.86;1001.62;642.46;460.22;406.84;501.56;102.87;99.56
05/04/2025 16:04:08.84;1001.08;1001.62;639.36;458.90;404.86;503.99;103.09;99.78
05/04/2025 16:04:08.85;1000.86;1001.62;642.68;459.12;403.53;507.97;102.87;99.56
05/04/2025 16:04:08.86;1000.86;1001.62;639.14;459.78;400.22;505.76;103.09;99.78
05/04/2025 16:04:08.87;1001.31;1001.62;641.35;457.79;400.22;510.84;103.32;99.78
05/04/2025 16:04:08.88;1000.64;1001.39;640.47;459.12;397.57;506.86;102.87;99.78
05/04/2025 16:04:08.89;1001.31;1001.62;638.92;457.79;397.57;510.84;103.09;99.78
05/04/2025 16:04:08.90;1000.86;1001.39;642.68;458.90;395.81;510.40;103.09;99.56
05/04/2025 16:04:08.91;1000.86;1001.62;638.92;458.23;395.58;509.51;103.09;99.78
05/04/2025 16:04:08.92;1001.08;1001.62;642.68;457.79;395.14;513.27;103.32;99.56
05/04/2025 16:04:08.93;1000.64;1001.62;638.70;458.90;394.48;509.07;103.09;99.56
05/04/2025 16:04:08.94;1001.08;1001.62;639.36;457.57;395.81;512.38;103.09;99.56
