Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
06/04/2025 08:52:51.61;1001.08;1001.62;639.81;458.67;445.03;426.02;102.21;99.56
06/04/2025 08:52:51.62;1000.86;1001.62;639.14;457.35;442.60;431.98;102.21;99.56
06/04/2025 08:52:51.63;1001.08;1001.62;642.90;457.57;439.51;428.23;102.65;99.78
06/04/2025 08:52:51.64;1001.31;1001.62;638.92;458.23;438.41;431.54;102.43;99.78
06/04/2025 08:52:51.65;1000.64;1001.62;642.68;457.13;434.88;434.41;102.43;99.78
06/04/2025 08:52:51.66;1001.31;1001.62;639.36;459.34;434.22;433.53;102.43;99.78
06/04/2025 08:52:51.67;1000.86;1001.62;640.03;458.01;431.35;439.49;102.43;99.56
06/04/2025 08:52:51.68;1000.86;1001.62;641.79;459.34;429.58;436.40;102.43;99.78
06/04/2025 08:52:51.69;1001.08;1001.62;638.92;458.67;428.04;443.69;102.43;99.78
06/04/2025 08:52:51.70;1000.86;1001.62;642.68;458.45;425.39;440.16;102.43;99.56
06/04/2025 08:52:51.71;1001.31;1001.62;639.14;459.78;425.17;443.25;102.65;99.78
06/04/2025 08:52:51.72;1000.86;1001.62;642.46;458.23;422.08;448.99;102.43;99.78
06/04/2025 08:52:51.73;1001.08;1001.62;639.36;460.00;421.63;446.78;102.43;99.78
06/04/2025 08:52:51.74;1000.86;1001.62;639.14;458.67;419.65;454.73;102.65;99.78
06/04/2025 08:52:51.75;1000.86;1001.39;642.46;458.67;418.32;450.98;102.43;99.56
06/04/2025 08:52:51.76;1001.31;1001.62;638.92;459.34;417.44;457.83;102.65;99.78
06/04/2025 08:52:51.77;1000.86;1001.62;642.68;457.57;415.23;459.15;102.65;99.78
06/04/2025 08:52:51.78;1001.31;1001.62;638.92;458.45;415.45;460.48;102.65;99.78
06/04/2025 08:52:51.79;1001.08;1001.62;640.91;457.57;413.69;468.21;102.87;99.78
06/04/2025 08:52:51.80;1000.86;1001.62;641.13;458.45;413.47;465.78;102.65;99.78
06/04/2025 08:52:51.81;1001.08;1001.62;639.14;457.57;412.36;475.28;102.87;99.78
06/04/2025 08:52:51.82;1000.86;1001.62;642.68;457.35;411.48;471.52;102.65;99.78
06/04/2025 08:52:51.83;1001.31;1001.62;638.92;459.12;411.92;471.08;102.65;99.78
06/04/2025 08:52:51.84;1000.86;1001.62;642.68;458.45;410.60;475.50;102.65;99.78
06/04/2025 08:52:51.85;1001.08;1001.39;639.14;459.56;411.92;471.08;102.65;99.78
06/04/2025 08:52:51.86;1001.08;1001.62;639.14;458.23;410.82;481.68;102.87;99.78
