Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
06/04/2025 10:40:12.61;1001.08;1001.62;639.81;457.35;418.32;439.71;102.43;99.78
06/04/2025 10:40:12.62;1000.64;1001.62;636.93;456.02;416.34;445.90;102.65;99.78
06/04/2025 10:40:12.63;1001.08;1001.62;640.69;456.69;416.34;444.57;102.43;99.78
06/04/2025 10:40:12.64;1000.86;1001.62;636.71;457.13;414.57;448.77;102.43;99.78
06/04/2025 10:40:12.65;1000.42;1001.62;640.03;456.91;413.91;451.86;102.43;99.56
06/04/2025 10:40:12.66;1001.08;1001.39;637.38;458.01;413.69;452.97;102.43;99.56
06/04/2025 10:40:12.67;1000.64;1001.62;636.71;456.91;412.36;458.49;102.43;99.56
06/04/2025 10:40:12.68;1001.31;1001.62;640.47;457.57;413.25;458.05;102.65;99.78
06/04/2025 10:40:12.69;1000.64;1001.39;636.93;456.47;411.92;463.79;102.87;99.78
06/04/2025 10:40:12.70;1000.86;1001.62;640.69;456.47;413.02;464.01;102.87;99.78
06/04/2025 10:40:12.71;1001.08;1001.39;636.93;457.57;411.70;467.10;102.65;99.78
06/04/2025 10:40:12.72;1000.42;1001.39;638.26;456.25;411.92;471.30;102.65;99.56
06/04/2025 10:40:12.73;1001.08;1001.62;639.14;457.57;413.25;471.30;102.43;99.56
06/04/2025 10:40:12.74;1000.42;1001.39;636.71;456.02;412.80;477.26;102.65;99.56
06/04/2025 10:40:12.75;1000.64;1001.62;640.69;456.69;414.79;475.94;102.65;99.78
06/04/2025 10:40:12.76;1001.08;1001.62;636.93;456.69;413.91;480.80;102.87;100.00
06/04/2025 10:40:12.77;1000.86;1001.62;640.91;456.02;416.56;483.45;102.87;99.78
06/04/2025 10:40:12.78;1001.08;1001.62;637.16;457.79;416.78;484.55;102.87;99.78
