Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
06/04/2025 14:10:04.72;1000.86;1001.62;642.46;458.67;486.98;392.67;101.99;99.56
06/04/2025 14:10:04.73;1001.31;1001.62;640.69;460.22;488.96;388.47;101.99;99.78
06/04/2025 14:10:04.74;1000.86;1001.62;639.36;458.45;487.86;388.91;101.77;99.56
06/04/2025 14:10:04.75;1001.53;1001.62;643.56;459.12;489.85;391.78;102.21;99.78
06/04/2025 14:10:04.76;1000.86;1001.62;639.36;459.78;488.96;388.47;101.77;99.56
06/04/2025 14:10:04.77;1001.08;1001.84;643.12;459.12;489.18;394.21;102.21;99.78
06/04/2025 14:10:04.78;1001.08;1001.62;639.14;460.00;490.07;390.24;101.77;99.56
06/04/2025 14:10:04.79;1000.86;1001.62;640.25;458.90;488.96;393.99;101.99;99.78
06/04/2025 14:10:04.80;1001.31;1001.62;642.24;458.67;489.85;392.23;101.99;99.56
06/04/2025 14:10:04.81;1000.86;1001.62;639.14;458.01;488.74;390.46;101.99;99.78
06/04/2025 14:10:04.82;1001.08;1001.62;642.90;457.57;488.52;397.31;101.99;99.56
06/04/2025 14:10:04.83;1000.86;1001.39;639.36;459.34;489.18;395.10;101.99;99.78
06/04/2025 14:10:04.84;1000.86;1001.62;642.68;458.67;487.86;403.71;102.21;99.78
06/04/2025 14:10:04.85;1001.31;1001.62;639.81;460.00;488.30;399.51;101.99;99.56
06/04/2025 14:10:04.86;1000.86;1001.62;639.58;458.67;486.98;405.04;102.21;99.78
06/04/2025 14:10:04.87;1001.08;1001.62;642.90;458.90;487.42;409.67;102.21;99.56
06/04/2025 14:10:04.88;1000.86;1001.62;639.81;460.00;486.75;409.45;102.21;99.78
06/04/2025 14:10:04.89;1000.86;1001.62;643.12;458.67;485.43;416.52;101.99;99.56
06/04/2025 14:10:04.90;1001.53;1001.62;639.58;460.00;486.09;413.87;102.21;99.78
06/04/2025 14:10:04.91;1000.86;1001.62;640.91;458.67;484.33;419.39;101.99;99.56
06/04/2025 14:10:04.92;1001.53;1001.62;642.01;459.12;484.77;418.07;102.43;100.00
06/04/2025 14:10:04.93;1000.64;1001.39;639.36;458.01;483.44;419.84;102.21;99.56
06/04/2025 14:10:04.94;1001.08;1001.62;643.12;458.90;483.00;426.02;102.43;99.78
06/04/2025 14:10:04.95;1001.31;1001.39;639.58;460.22;483.00;423.37;102.21;99.56
06/04/2025 14:10:04.96;1000.86;1001.62;643.12;458.90;481.68;431.32;102.43;99.78
06/04/2025 14:10:04.97;1001.31;1001.62;639.81;460.22;482.12;427.12;102.43;99.78
06/04/2025 14:10:04.98;1000.86;1001.62;639.58;458.67;480.57;432.43;102.43;99.78
06/04/2025 14:10:04.99;1001.31;1001.62;643.12;459.34;480.79;435.52;102.43;99.78
06/04/2025 14:10:05.00;1001.08;1001.62;639.14;460.00;479.69;434.85;102.43;99.56
06/04/2025 14:10:05.01;1001.08;1001.62;643.56;459.12;479.03;441.92;102.43;99.78
06/04/2025 14:10:05.02;1001.31;1001.62;639.36;460.00;479.69;438.83;102.43;99.56
06/04/2025 14:10:05.03;1001.08;1001.62;641.79;459.12;478.37;446.78;102.43;99.78
06/04/2025 14:10:05.04;1001.31;1001.62;641.35;458.67;478.59;443.25;102.43;99.56
06/04/2025 14:10:05.05;1000.86;1001.62;639.58;458.01;477.48;446.56;102.65;99.78
06/04/2025 14:10:05.06;1000.86;1001.62;643.12;457.57;476.82;452.30;102.43;99.56
06/04/2025 14:10:05.07;1001.31;1001.62;639.58;459.56;477.04;450.76;102.65;99.78
06/04/2025 14:10:05.08;1000.64;1001.62;643.12;458.67;475.50;458.27;102.65;99.56
06/04/2025 14:10:05.09;1001.31;1001.62;639.58;460.00;475.94;454.96;102.87;99.78
06/04/2025 14:10:05.10;1000.86;1001.39;639.81;458.67;474.61;460.92;102.65;99.78
06/04/2025 14:10:05.11;1001.08;1001.62;642.90;459.12;473.95;462.24;102.65;99.78
06/04/2025 14:10:05.12;1001.08;1001.62;639.58;459.56;472.85;463.35;102.87;99.78
06/04/2025 14:10:05.13;1000.86;1001.62;643.34;458.67;470.86;469.53;102.65;99.56
06/04/2025 14:10:05.14;1001.31;1001.62;639.58;460.22;471.08;466.88;102.87;99.78
06/04/2025 14:10:05.15;1000.86;1001.62;641.79;458.67;468.65;474.39;102.65;99.56
06/04/2025 14:10:05.16;1001.31;1001.62;640.91;460.00;467.33;470.86;102.65;99.78
06/04/2025 14:10:05.17;1001.08;1001.62;639.14;458.67;465.56;473.73;102.65;99.56
06/04/2025 14:10:05.18;1001.08;1001.84;643.34;459.12;462.47;478.81;102.87;99.78
06/04/2025 14:10:05.19;1001.08;1001.39;639.36;460.00;461.81;476.38;102.65;99.56
06/04/2025 14:10:05.20;1001.08;1001.62;643.12;459.12;458.06;482.12;102.87;99.78
06/04/2025 14:10:05.21;1001.31;1001.62;639.36;459.12;456.29;477.71;102.65;99.56
