Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
05.04.2025 16:54;1001,31;1001,62;643,34;459,78;444,37;502,44;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;639,58;458,9;447,02;498,25;102,87;99,56
05.04.2025 16:54;1000,86;1001,39;642,46;458,9;447,24;502;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;640,25;460;450,99;497,81;102,87;99,78
05.04.2025 16:54;1000,64;1001,62;639,81;459,12;450,33;498,47;102,87;99,78
05.04.2025 16:54;1001,31;1001,62;643,34;459,34;452,98;498,69;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;639,58;458,01;455,41;495,38;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;643,34;458,01;456,07;498,25;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;639,58;458,9;459,82;493,61;102,87;99,56
05.04.2025 16:54;1000,86;1001,62;640,69;458,01;459,38;495,82;103,09;99,78
05.04.2025 16:54;1001,31;1001,62;642,01;458,9;462,91;491,4;102,87;99,56
05.04.2025 16:54;1000,86;1001,62;639,36;457,57;464,02;489,85;103,09;99,78
05.04.2025 16:54;1001,08;1001,62;642,9;458,45;465,78;491,84;102,87;99,56
05.04.2025 16:54;1001,08;1001,62;639,36;457,79;469,09;486,76;103,09;99,78
05.04.2025 16:54;1000,86;1001,62;642,9;457,35;469,32;488,31;102,87;99,78
05.04.2025 16:54;1001,31;1001,62;640,03;459,34;473,73;484,33;103,09;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;458,23;472,85;483,45;102,87;99,56
05.04.2025 16:54;1001,31;1001,62;643,12;459,78;475,94;482,34;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;639,14;458,01;477,92;477,71;102,65;99,56
05.04.2025 16:54;1001,08;1001,62;643,34;458,67;479,03;480,36;103,09;100
05.04.2025 16:54;1001,31;1001,84;639,58;459,34;482,56;474,83;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;641,35;458,45;481,9;475,72;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;641,57;459,78;484,99;471,74;102,65;99,56
05.04.2025 16:54;1000,86;1001,62;639,36;458,45;485,65;469,09;102,65;99,78
05.04.2025 16:54;1000,86;1001,39;642,9;459,56;486,53;470,64;102,65;99,56
05.04.2025 16:54;1001,31;1001,62;639,36;458,45;488,74;464,89;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;643,12;457,35;488,52;466,88;102,65;99,78
05.04.2025 16:54;1001,31;1001,62;639,58;458,67;490,95;462,02;102,65;99,56
05.04.2025 16:54;1000,86;1001,62;639,58;457,35;489,85;462,02;102,65;99,78
05.04.2025 16:54;1001,08;1001,62;642,9;458,67;490,73;459,37;102,65;99,56
05.04.2025 16:54;1001,08;1001,62;639,58;457,57;492,05;455,84;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;643,12;458,67;491,17;458,05;102,65;99,78
05.04.2025 16:54;1001,31;1001,62;639,58;459,12;492,49;452,75;102,65;99,78
05.04.2025 16:54;1000,64;1001,62;641,79;458,23;491,17;454,07;102,43;99,56
05.04.2025 16:54;1001,31;1001,62;641,13;459,78;491,83;450,32;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;458,23;491,17;448,33;102,21;99,56
05.04.2025 16:54;1000,86;1001,62;643,34;460;490,51;449,87;102,65;99,78
05.04.2025 16:54;1001,08;1001,62;639,14;458,45;490,73;445,02;102,43;99,56
05.04.2025 16:54;1000,86;1001,62;643,34;457,35;489,4;447,45;102,43;99,78
05.04.2025 16:54;1001,08;1001,62;639,36;458,45;489,4;442,59;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;640,03;457,35;488,08;444,13;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;642,68;458,67;486,75;440,82;102,21;99,56
05.04.2025 16:54;1001,31;1001,62;639,36;457,13;486,98;438,61;102,21;99,56
05.04.2025 16:54;1000,86;1001,62;642,9;457,57;484,55;441,48;102,43;99,78
05.04.2025 16:54;1001,31;1001,62;639,36;457,79;484,33;436,84;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;642,46;457,13;482,78;439,71;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;640,25;458,45;481,24;435,3;102,43;99,56
05.04.2025 16:54;1001,08;1001,62;639,58;457,35;480,57;436,62;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;643,12;459,78;478,15;436,62;102,43;99,56
05.04.2025 16:54;1001,31;1001,62;639,81;458,67;477,92;434,19;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;643,12;458,45;475,5;437,73;102,43;99,56
05.04.2025 16:54;1001,31;1001,62;639,81;460;473,95;434,19;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;640,47;458,67;472,41;437,95;102,21;99,56
05.04.2025 16:54;1000,86;1001,62;642,46;460;469,76;434,41;102,65;99,78
05.04.2025 16:54;1001,31;1001,62;639,36;458,45;469,76;435,3;102,21;99,56
05.04.2025 16:54;1000,86;1001,62;643,34;459,34;466,67;439,27;102,43;99,78
05.04.2025 16:54;1001,08;1001,39;639,36;459,34;465,34;436,18;102,43;99,56
05.04.2025 16:54;1000,86;1001,62;643,12;458,67;463,36;441,26;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;639,81;459,56;460,71;437,95;102,43;99,78
05.04.2025 16:54;1001,08;1001,62;639,58;457,79;459,82;442,59;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;643,12;458,9;456,51;441,7;102,43;99,78
05.04.2025 16:54;1001,31;1001,62;639,36;457,57;456,07;442,36;102,43;99,78
05.04.2025 16:54;1000,86;1001,62;643,12;458,9;453,42;447,67;102,65;99,78
05.04.2025 16:54;1001,08;1001,62;639,36;459,78;451,66;444,79;102,43;99,56
05.04.2025 16:54;1001,08;1001,62;641,35;458,9;450,33;451,86;102,65;99,78
05.04.2025 16:54;1000,64;1001,62;641,35;459,78;447,24;447,89;102,43;99,56
05.04.2025 16:54;1001,53;1001,62;639,58;458,67;447,02;452,08;102,65;99,78
05.04.2025 16:54;1000,64;1001,39;642,9;458,9;443,93;455,62;102,43;99,56
05.04.2025 16:54;1001,31;1001,62;639,58;459,34;443,27;454,96;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;643,12;458,67;441,06;461,36;102,43;99,56
05.04.2025 16:54;1000,86;1001,62;639,58;459,34;439,29;458,71;102,65;99,78
05.04.2025 16:54;1001,08;1001,62;639,58;457,57;438,41;465,56;102,43;99,56
05.04.2025 16:54;1000,86;1001,62;643,34;458,9;436,42;463,79;102,65;99,78
05.04.2025 16:54;1001,31;1001,62;639,36;457,35;436,2;466,44;102,65;99,56
05.04.2025 16:54;1000,86;1001,62;643,34;457,57;434;471,96;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;639,58;458,67;433,55;469,97;102,65;99,78
05.04.2025 16:54;1001,31;1001,84;642,01;457,57;432,45;476,82;102,65;99,56
05.04.2025 16:54;1000,86;1001,62;641,13;459,34;431,13;473,51;102,65;99,78
05.04.2025 16:54;1001,08;1001,62;639,14;458,23;431,79;477,71;102,65;99,56
05.04.2025 16:54;1000,64;1001,62;643,12;459,12;430,02;480,36;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;639,14;458,67;430,68;479,47;102,65;99,56
05.04.2025 16:54;1001,08;1001,62;643,34;458,67;429,58;485,44;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;459,12;430,02;482,12;102,65;99,56
05.04.2025 16:54;1001,31;1001,62;640,03;457,35;429,8;488,97;103,09;99,78
05.04.2025 16:54;1000,86;1001,62;642,68;458,45;429,58;485,22;102,65;99,56
05.04.2025 16:54;1001,31;1001,62;639,58;457,13;431,13;487,65;103,09;99,78
05.04.2025 16:54;1001,08;1001,62;642,9;457,13;430,02;491,84;102,87;99,56
05.04.2025 16:54;1000,86;1001,62;639,58;458,45;432,23;489,63;103,09;99,78
05.04.2025 16:54;1001,31;1001,62;642,24;457,13;431,13;494,93;102,87;99,56
05.04.2025 16:54;1000,64;1001,39;640,25;458,45;432,23;491,18;102,87;99,56
05.04.2025 16:54;1001,31;1001,39;639,58;457,13;433,55;494,93;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;643,12;458,23;433,77;495,16;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;457,79;436,2;494,49;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;643,12;458,45;435,76;499,13;102,87;99,56
05.04.2025 16:54;1000,86;1001,62;639,36;459,78;439,07;495,82;102,87;99,78
05.04.2025 16:54;1001,08;1001,62;640,69;458,45;438,63;500,24;102,87;99,56
05.04.2025 16:54;1000,86;1001,62;642,46;460;441,06;496,48;103,09;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;458,23;443,05;497,14;102,87;99,56
05.04.2025 16:54;1001,31;1001,62;643,56;458,9;443,71;500,9;103,09;99,78
05.04.2025 16:54;1000,64;1001,62;639,36;459,56;447,02;496,92;102,65;99,56
05.04.2025 16:54;1001,53;1001,62;643,12;458,9;446,36;500,68;103,09;99,78
05.04.2025 16:54;1000,64;1001,39;639,81;460;449,67;496,48;102,65;99,56
05.04.2025 16:54;1001,08;1001,62;639,81;458,9;451,43;498,91;103,09;99,78
05.04.2025 16:54;1001,08;1001,62;642,9;458,67;452,76;496,92;102,65;99,56
05.04.2025 16:54;1000,86;1001,62;639,36;458,23;456,29;494,93;102,87;99,78
05.04.2025 16:54;1001,31;1001,62;643,12;457,57;456,29;498,03;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;639,58;458,9;460,93;493,39;102,87;99,78
05.04.2025 16:54;1001,31;1001,62;641,35;457,35;460,49;495,6;102,87;99,78
05.04.2025 16:54;1000,86;1001,62;641,79;458,45;463,58;491,4;102,87;99,56
05.04.2025 16:54;1000,86;1001,62;639,36;457,13;466,23;490,08;103,09;99,78
05.04.2025 16:54;1001,08;1001,62;643,12;457,35;466,89;491,62;102,87;99,56
05.04.2025 16:54;1000,86;1001,39;639,36;458,23;470,86;486,98;103,09;99,78
05.04.2025 16:54;1001,08;1001,62;643,12;457,13;469,98;488,53;102,87;99,56
05.04.2025 16:54;1000,86;1001,62;639,81;459,34;473,73;484,11;103,09;99,78
05.04.2025 16:54;1001,08;1001,62;639,58;458,01;474,83;484,33;102,65;99,56
05.04.2025 16:54;1001,31;1001,62;643,12;458,45;476,16;481,68;102,87;99,78
05.04.2025 16:54;1000,64;1001,39;639,14;457,35;478,81;477,93;102,65;99,56
05.04.2025 16:54;1001,31;1001,62;643,34;457,35;478,81;480,58;103,09;99,78
05.04.2025 16:54;1000,64;1001,62;639,36;458,23;481,9;474,83;102,65;99,56
05.04.2025 16:54;1001,08;1001,62;642,24;457,35;481,24;476,16;102,65;99,78
05.04.2025 16:54;1001,08;1001,62;641,13;459,34;483,22;471,74;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;458,23;484,99;469,75;102,65;99,78
05.04.2025 16:54;1001,31;1001,62;642,9;458,45;484,99;470,2;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;459,34;487,42;465,34;102,65;99,56
05.04.2025 16:54;1001,31;1001,39;642,9;458,23;486,53;467,32;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;639,14;459,56;488,3;462,02;102,65;99,56
05.04.2025 16:54;1000,86;1001,39;639,81;458,67;488,96;462,91;102,65;99,78
05.04.2025 16:54;1001,31;1001,84;642,68;459,78;488,74;458,93;102,65;99,78
05.04.2025 16:54;1000,86;1001,62;639,36;458,9;490,51;456,5;102,65;99,78
05.04.2025 16:54;1001,31;1001,62;643,12;457,79;489,4;458,49;102,43;99,56
