Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
06/04/2025 14:11:12.66;1000.86;1001.62;639.36;458.45;449.45;234.74;100.66;99.56
06/04/2025 14:11:12.66;1001.53;1001.62;643.12;460.00;448.57;240.04;100.66;99.78
06/04/2025 14:11:12.68;1000.64;1001.39;639.36;458.45;448.79;235.84;100.66;99.56
06/04/2025 14:11:12.68;1001.08;1001.62;643.34;459.78;449.23;236.06;100.66;99.78
06/04/2025 14:11:12.69;1000.86;1001.62;639.14;458.45;448.34;239.38;100.66;99.78
06/04/2025 14:11:12.70;1000.86;1001.62;640.25;458.45;449.45;236.73;100.66;99.56
06/04/2025 14:11:12.74;1001.31;1001.62;642.68;459.78;448.57;241.36;100.66;99.78
06/04/2025 14:11:12.75;1000.86;1001.62;639.36;458.45;449.45;237.39;100.66;99.78
06/04/2025 14:11:12.75;1001.31;1001.62;643.34;459.78;448.57;240.26;100.66;99.56
06/04/2025 14:11:12.76;1000.86;1001.62;639.36;458.23;448.34;237.83;100.66;99.56
06/04/2025 14:11:12.78;1000.86;1001.62;642.68;458.23;449.67;238.05;100.66;99.78
06/04/2025 14:11:12.78;1001.08;1001.62;639.81;458.67;448.34;241.81;100.44;99.56
06/04/2025 14:11:12.79;1000.64;1001.39;639.36;458.45;449.23;237.83;100.44;99.56
06/04/2025 14:11:12.80;1001.31;1001.62;643.12;460.00;448.57;241.81;100.88;99.78
06/04/2025 14:11:12.81;1000.86;1001.39;639.14;458.45;448.79;237.17;100.66;99.56
06/04/2025 14:11:12.82;1000.86;1001.62;643.12;459.78;449.01;238.27;100.66;99.56
06/04/2025 14:11:12.83;1001.08;1001.62;639.58;458.67;448.57;240.04;100.66;99.78
06/04/2025 14:11:12.84;1000.86;1001.62;640.69;458.67;449.67;236.95;100.66;99.56
06/04/2025 14:11:12.85;1001.31;1001.62;641.79;459.78;448.57;240.48;100.66;99.56
06/04/2025 14:11:12.86;1000.86;1001.62;639.36;458.45;449.45;235.62;100.66;99.78
06/04/2025 14:11:12.87;1001.08;1001.62;643.12;460.00;448.34;240.92;100.66;99.56
06/04/2025 14:11:12.88;1001.08;1001.62;639.36;458.67;448.57;236.95;100.66;99.78
06/04/2025 14:11:12.89;1000.86;1001.62;643.12;459.34;449.67;235.18;100.66;99.78
06/04/2025 14:11:12.90;1001.31;1001.62;639.58;459.12;448.57;238.93;100.44;99.56
06/04/2025 14:11:12.91;1000.86;1001.62;639.36;457.35;449.67;236.50;100.66;99.56
06/04/2025 14:11:12.92;1001.31;1001.62;643.12;458.67;448.57;239.38;100.66;99.56
06/04/2025 14:11:12.93;1000.86;1001.39;639.36;457.35;449.23;234.30;100.66;99.56
06/04/2025 14:11:12.94;1000.86;1001.62;643.34;459.78;449.01;235.62;100.66;99.78
06/04/2025 14:11:12.95;1001.31;1001.62;639.36;458.45;448.57;235.84;100.66;99.78
06/04/2025 14:11:12.97;1000.64;1001.62;641.35;458.45;449.45;233.85;100.44;99.56
06/04/2025 14:11:12.98;1001.08;1001.62;641.35;459.56;448.57;238.05;100.66;99.78
06/04/2025 14:11:12.98;1000.86;1001.62;639.36;458.45;449.67;233.41;100.66;99.78
06/04/2025 14:11:12.99;1001.08;1001.62;643.34;459.78;448.34;236.28;100.66;99.56
06/04/2025 14:11:13.00;1001.31;1001.62;639.36;458.45;448.34;232.09;100.66;99.78
06/04/2025 14:11:13.01;1000.86;1001.62;643.34;459.12;449.45;232.75;100.66;99.78
06/04/2025 14:11:13.02;1001.31;1001.62;639.14;458.67;448.34;236.06;100.66;99.56
06/04/2025 14:11:13.03;1000.86;1001.62;639.81;457.35;449.67;232.75;100.66;99.56
06/04/2025 14:11:13.04;1001.31;1001.62;642.90;459.56;448.34;236.50;100.66;99.78
06/04/2025 14:11:13.05;1000.86;1001.62;639.36;458.45;449.01;232.09;100.44;99.56
06/04/2025 14:11:13.06;1000.86;1001.62;643.12;459.78;448.79;238.71;100.66;99.56
06/04/2025 14:11:13.08;1001.31;1001.62;639.36;458.45;448.34;238.71;100.66;99.56
06/04/2025 14:11:13.09;1000.86;1001.62;642.01;458.67;449.45;238.27;100.66;99.78
06/04/2025 14:11:13.09;1001.31;1001.62;640.69;459.78;448.57;241.36;100.66;99.78
06/04/2025 14:11:13.10;1000.86;1001.62;639.36;458.45;449.45;234.96;100.66;99.78
06/04/2025 14:11:13.12;1000.86;1001.62;643.12;460.00;448.34;239.15;100.66;99.56
06/04/2025 14:11:13.13;1001.08;1001.62;639.36;458.67;448.57;234.74;100.66;99.56
06/04/2025 14:11:13.13;1000.86;1001.62;643.12;459.56;449.45;238.71;100.66;99.78
06/04/2025 14:11:13.14;1001.31;1001.62;639.36;459.12;448.34;241.81;100.66;99.56
06/04/2025 14:11:13.16;1000.86;1001.62;640.03;458.45;449.67;240.26;100.66;99.78
06/04/2025 14:11:13.16;1001.08;1001.62;642.68;459.34;448.34;243.79;100.66;99.78
06/04/2025 14:11:13.18;1001.08;1001.62;639.36;457.35;449.01;239.38;100.44;99.56
06/04/2025 14:11:13.19;1000.86;1001.62;643.12;460.00;448.79;246.00;100.66;99.56
06/04/2025 14:11:13.19;1001.31;1001.62;639.58;458.67;448.34;244.46;100.66;99.78
06/04/2025 14:11:13.21;1000.64;1001.39;642.46;458.45;449.45;241.58;100.44;99.56
06/04/2025 14:11:13.22;1001.08;1001.62;640.25;459.78;448.57;245.78;100.66;99.78
06/04/2025 14:11:13.23;1000.86;1001.39;639.36;458.45;449.45;240.92;100.66;99.78
06/04/2025 14:11:13.24;1000.86;1001.62;643.12;459.78;448.34;246.44;100.44;99.56
06/04/2025 14:11:13.25;1001.31;1001.62;639.58;458.45;448.57;243.35;100.66;99.56
06/04/2025 14:11:13.26;1000.86;1001.62;643.34;459.56;449.45;240.70;100.66;99.78
06/04/2025 14:11:13.27;1001.31;1001.62;639.36;459.12;448.57;242.03;100.66;99.56
06/04/2025 14:11:13.28;1000.86;1001.62;640.69;458.67;449.45;237.61;100.66;99.56
06/04/2025 14:11:13.29;1000.86;1001.62;642.01;460.00;448.57;241.14;100.66;99.78
06/04/2025 14:11:13.30;1001.08;1001.62;639.14;458.90;449.01;236.28;100.66;99.56
06/04/2025 14:11:13.31;1000.86;1001.62;643.12;459.34;448.79;239.60;100.66;99.78
06/04/2025 14:11:13.32;1001.31;1001.62;639.58;458.01;448.57;236.50;100.66;99.78
06/04/2025 14:11:13.33;1000.86;1001.62;642.90;457.79;449.45;234.30;100.66;99.56
06/04/2025 14:11:13.34;1000.86;1001.62;639.58;459.34;448.34;237.39;100.66;99.56
06/04/2025 14:11:13.35;1001.08;1001.62;639.58;458.90;449.67;233.41;100.88;99.78
06/04/2025 14:11:13.36;1000.86;1001.62;643.12;460.00;448.79;240.04;100.66;99.78
06/04/2025 14:11:13.37;1001.31;1001.62;639.58;458.67;448.79;238.93;100.44;99.56
06/04/2025 14:11:13.38;1000.86;1001.62;643.34;459.56;449.67;238.05;100.66;99.78
06/04/2025 14:11:13.39;1001.08;1001.62;639.36;458.67;448.57;237.83;100.66;99.56
06/04/2025 14:11:13.40;1000.86;1001.39;641.57;458.45;449.67;236.95;100.66;99.78
06/04/2025 14:11:13.41;1000.86;1001.62;641.35;459.78;448.79;240.48;100.88;99.78
06/04/2025 14:11:13.42;1001.31;1001.62;639.36;458.45;449.89;236.28;100.66;99.56
06/04/2025 14:11:13.43;1000.64;1001.39;643.12;458.90;449.01;239.60;100.66;99.56
06/04/2025 14:11:13.44;1001.31;1001.62;639.36;457.57;448.79;236.06;100.66;99.78
06/04/2025 14:11:13.45;1000.64;1001.39;643.12;458.90;450.11;236.28;100.66;99.56
06/04/2025 14:11:13.46;1000.86;1001.62;639.58;460.00;449.23;239.60;100.66;99.56
06/04/2025 14:11:13.47;1001.31;1001.62;639.81;458.67;450.11;238.05;100.66;99.78
06/04/2025 14:11:13.48;1000.86;1001.62;642.90;459.78;449.01;240.26;100.44;99.56
06/04/2025 14:11:13.49;1001.31;1001.62;639.36;458.45;449.45;234.52;100.66;99.56
06/04/2025 14:11:13.50;1000.86;1001.62;643.34;459.78;450.11;235.40;100.66;99.78
06/04/2025 14:11:13.51;1001.08;1001.84;639.36;458.90;449.01;233.85;100.66;99.56
06/04/2025 14:11:13.52;1001.31;1001.62;642.01;458.67;450.11;245.56;100.66;99.56
06/04/2025 14:11:13.53;1000.86;1001.62;640.69;460.00;448.79;246.89;100.66;99.78
06/04/2025 14:11:13.54;1001.08;1001.62;639.36;458.67;449.89;237.61;100.66;99.56
06/04/2025 14:11:13.55;1000.86;1001.62;643.12;459.12;449.01;242.25;100.66;99.56
06/04/2025 14:11:13.56;1001.08;1001.62;639.36;457.57;448.57;235.40;100.66;99.78
06/04/2025 14:11:13.57;1001.08;1001.62;643.12;459.12;449.67;237.61;100.66;99.56
06/04/2025 14:11:13.58;1000.86;1001.62;639.36;459.78;448.57;240.70;100.66;99.56
06/04/2025 14:11:13.59;1001.31;1001.62;640.25;458.67;449.89;233.85;100.88;99.78
06/04/2025 14:11:13.60;1000.86;1001.62;642.46;460.00;448.57;239.82;100.66;99.56
06/04/2025 14:11:13.61;1001.08;1001.62;639.36;458.45;449.01;235.62;100.66;99.56
06/04/2025 14:11:13.62;1000.86;1001.62;643.12;459.78;449.45;241.58;100.66;99.78
06/04/2025 14:11:13.63;1000.86;1001.62;639.36;458.90;448.57;237.61;100.66;99.56
06/04/2025 14:11:13.64;1001.31;1001.62;642.68;458.67;449.89;237.39;100.66;99.78
06/04/2025 14:11:13.65;1000.86;1001.39;640.25;460.00;449.01;242.91;100.66;99.78
06/04/2025 14:11:13.66;1001.08;1001.62;639.36;458.67;449.89;236.50;100.66;99.56
06/04/2025 14:11:13.67;1000.86;1001.39;643.12;460.00;449.01;244.90;100.66;99.56
06/04/2025 14:11:13.68;1001.08;1001.62;639.36;458.67;448.57;240.04;100.66;99.56
06/04/2025 14:11:13.69;1001.31;1001.62;643.12;458.01;449.67;243.79;100.66;99.56
06/04/2025 14:11:13.70;1000.86;1001.62;639.36;458.90;448.57;246.00;100.66;99.56
06/04/2025 14:11:13.71;1001.31;1001.62;640.91;458.67;449.67;244.01;100.66;99.78
06/04/2025 14:11:13.72;1000.86;1001.62;642.01;460.00;448.79;249.98;100.66;99.56
06/04/2025 14:11:13.73;1000.86;1001.62;639.36;458.67;449.01;244.68;100.66;99.56
